[2025-05-25 11:47:06,665] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:06,748] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:06,821] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:06,909] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:06,983] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:07,064] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:07,137] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:07,220] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:07,293] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:07,382] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:07,464] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:07,537] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:07,635] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:07,716] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:07,794] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:07,877] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:07,956] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:08,032] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:08,116] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:08,194] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:08,272] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:08,349] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:08,445] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:08,515] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:08,601] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:08,681] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:08,739] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:08,840] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:08,920] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:09,003] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:09,096] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:09,165] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:09,232] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:09,321] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:09,393] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:09,466] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:09,567] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:09,642] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:09,761] [ERROR] Error Insert to DB read of closed file
